Pendel 1 in Ruhe
Pendel 2 ausgelenkt
13.658 -0.945 11.081
13.683 -1.120 11.372
13.708 -1.330 11.542
13.733 -1.400 11.640
13.758 -1.575 11.615
13.783 -1.645 11.445
13.808 -1.715 11.154
13.833 -1.715 10.741
13.858 -1.750 10.327
13.883 -1.715 9.744
13.908 -1.785 9.088
13.933 -1.750 8.311
13.958 -1.645 7.533
13.983 -1.610 6.610
14.008 -1.610 5.662
14.033 -1.540 4.666
14.058 -1.470 3.621
14.083 -1.330 2.576
14.108 -1.260 1.555
14.133 -1.190 0.462
14.158 -1.190 -0.535
14.183 -1.085 -1.628
14.208 -1.015 -2.576
14.233 -0.945 -3.523
14.258 -1.050 -4.325
14.283 -1.015 -5.152
14.308 -0.910 -5.832
14.333 -1.015 -6.464
14.358 -1.120 -6.974
14.383 -1.120 -7.484
14.408 -1.225 -7.727
14.433 -1.365 -7.995
14.458 -1.470 -8.116
14.483 -1.610 -8.140
14.508 -1.715 -8.043
14.533 -1.890 -7.825
14.558 -2.030 -7.533
14.583 -2.240 -7.047
14.608 -2.485 -6.561
14.633 -2.660 -5.954
14.658 -2.835 -5.249
14.683 -3.045 -4.520
14.708 -3.185 -3.718
14.733 -3.360 -2.794
14.758 -3.570 -1.871
14.783 -3.570 -0.923
14.808 -3.815 0.097
14.833 -3.850 1.093
14.858 -3.885 2.090
14.883 -4.025 3.135
14.908 -4.060 4.180
14.933 -4.025 5.103
14.958 -3.885 6.026
14.983 -3.885 6.925
15.008 -3.710 7.679
15.033 -3.675 8.383
15.058 -3.500 9.064
15.083 -3.220 9.574
15.108 -2.800 10.036
15.133 -2.625 10.352
15.158 -2.275 10.595
15.183 -1.925 10.765
15.208 -1.470 10.886
15.233 -1.050 10.813
15.258 -0.630 10.595
15.283 -0.210 10.327
15.308 0.210 9.987
15.333 0.595 9.526
15.358 1.085 8.991
15.383 1.470 8.408
15.408 1.890 7.703
15.433 2.240 6.998
15.458 2.590 6.245
15.483 2.870 5.419
15.508 3.045 4.544
15.533 3.185 3.621
15.558 3.325 2.746
15.583 3.465 1.847
15.608 3.605 0.899
15.633 3.535 0.073
15.658 3.465 -0.753
15.683 3.255 -1.579
15.708 3.010 -2.308
15.733 2.660 -3.062
15.758 2.415 -3.645
15.783 1.995 -4.252
15.808 1.610 -4.787
15.833 1.155 -5.273
15.858 0.665 -5.565
15.883 0.105 -5.832
15.908 -0.455 -6.002
15.933 -1.050 -6.026
15.958 -1.680 -6.051
15.983 -2.240 -5.929
16.008 -2.905 -5.735
16.033 -3.500 -5.565
16.058 -4.060 -5.249
16.083 -4.690 -4.787
16.108 -5.285 -4.350
16.133 -5.810 -3.742
16.158 -6.195 -3.208
16.183 -6.720 -2.527
